County,Year,Month,Total
Alamance,2024,1,453394
Alamance,2024,2,455407
Alamance,2024,3,568740
Alamance,2024,4,454302
Alamance,2024,5,453574
Alamance,2024,6,573806
Alamance,2024,7,460385
Alamance,2024,8,230451
Alexander,2024,1,100620
Alexander,2024,2,100865
Alexander,2024,3,125952
Alexander,2024,4,100540
Alexander,2024,5,100435
Alexander,2024,6,126715
Alexander,2024,7,101287
Alexander,2024,8,50709
Alleghany,2024,1,31742
Alleghany,2024,2,31862
Alleghany,2024,3,39898
Alleghany,2024,4,31993
Alleghany,2024,5,31964
Alleghany,2024,6,40278
Alleghany,2024,7,32286
Alleghany,2024,8,16184
Anson,2024,1,64811
Anson,2024,2,64818
Anson,2024,3,80454
Anson,2024,4,64244
Anson,2024,5,64166
Anson,2024,6,81040
Anson,2024,7,65151
Anson,2024,8,32775
Ashe,2024,1,80779
Ashe,2024,2,81023
Ashe,2024,3,101252
Ashe,2024,4,80841
Ashe,2024,5,80728
Ashe,2024,6,102051
Ashe,2024,7,81651
Ashe,2024,8,40871
Avery,2024,1,51118
Avery,2024,2,51299
Avery,2024,3,64133
Avery,2024,4,51306
Avery,2024,5,51301
Avery,2024,6,64639
Avery,2024,7,52092
Avery,2024,8,26111
Beaufort,2024,1,136783
Beaufort,2024,2,137147
Beaufort,2024,3,171160
Beaufort,2024,4,136690
Beaufort,2024,5,136984
Beaufort,2024,6,172368
Beaufort,2024,7,137895
Beaufort,2024,8,68987
Bertie,2024,1,50506
Bertie,2024,2,50590
Bertie,2024,3,63210
Bertie,2024,4,50388
Bertie,2024,5,50323
Bertie,2024,6,63171
Bertie,2024,7,50604
Bertie,2024,8,25325
Bladen,2024,1,90264
Bladen,2024,2,90446
Bladen,2024,3,112846
Bladen,2024,4,89816
Bladen,2024,5,89635
Bladen,2024,6,113285
Bladen,2024,7,91166
Bladen,2024,8,46099
Brunswick,2024,1,525251
Brunswick,2024,2,528139
Brunswick,2024,3,659349
Brunswick,2024,4,526801
Brunswick,2024,5,526127
Brunswick,2024,6,670663
Brunswick,2024,7,541845
Brunswick,2024,8,272025
Buncombe,2024,1,832731
Buncombe,2024,2,834667
Buncombe,2024,3,1042882
Buncombe,2024,4,833100
Buncombe,2024,5,835941
Buncombe,2024,6,1054823
Buncombe,2024,7,847209
Buncombe,2024,8,424236
Burke,2024,1,235227
Burke,2024,2,236045
Burke,2024,3,294834
Burke,2024,4,235362
Burke,2024,5,235248
Burke,2024,6,296766
Burke,2024,7,237796
Burke,2024,8,119162
Cabarrus,2024,1,620174
Cabarrus,2024,2,622555
Cabarrus,2024,3,777438
Cabarrus,2024,4,621355
Cabarrus,2024,5,620691
Cabarrus,2024,6,780910
Cabarrus,2024,7,630126
Cabarrus,2024,8,315775
Caldwell,2024,1,215193
Caldwell,2024,2,215720
Caldwell,2024,3,269496
Caldwell,2024,4,215383
Caldwell,2024,5,214954
Caldwell,2024,6,270733
Caldwell,2024,7,217402
Caldwell,2024,8,108898
Camden,2024,1,34060
Camden,2024,2,34144
Camden,2024,3,42641
Camden,2024,4,34076
Camden,2024,5,34022
Camden,2024,6,42854
Camden,2024,7,34422
Camden,2024,8,17252
Carteret,2024,1,226280
Carteret,2024,2,226881
Carteret,2024,3,283355
Carteret,2024,4,226398
Carteret,2024,5,226123
Carteret,2024,6,285641
Carteret,2024,7,229380
Carteret,2024,8,114939
Caswell,2024,1,60820
Caswell,2024,2,60972
Caswell,2024,3,76222
Caswell,2024,4,60912
Caswell,2024,5,60897
Caswell,2024,6,76932
Caswell,2024,7,61630
Caswell,2024,8,30842
Catawba,2024,1,447110
Catawba,2024,2,448522
Catawba,2024,3,559810
Catawba,2024,4,447241
Catawba,2024,5,446827
Catawba,2024,6,566555
Catawba,2024,7,455367
Catawba,2024,8,228288
Chatham,2024,1,242994
Chatham,2024,2,243686
Chatham,2024,3,304269
Chatham,2024,4,243055
Chatham,2024,5,243101
Chatham,2024,6,307729
Chatham,2024,7,247061
Chatham,2024,8,123957
Cherokee,2024,1,93148
Cherokee,2024,2,93519
Cherokee,2024,3,116734
Cherokee,2024,4,93301
Cherokee,2024,5,93161
Cherokee,2024,6,119026
Cherokee,2024,7,95587
Cherokee,2024,8,47874
Chowan,2024,1,41518
Chowan,2024,2,41566
Chowan,2024,3,51868
Chowan,2024,4,41610
Chowan,2024,5,41629
Chowan,2024,6,52150
Chowan,2024,7,41822
Chowan,2024,8,20926
Clay,2024,1,39320
Clay,2024,2,39454
Clay,2024,3,49255
Clay,2024,4,39365
Clay,2024,5,39323
Clay,2024,6,49836
Clay,2024,7,40102
Clay,2024,8,20144
Cleveland,2024,1,270715
Cleveland,2024,2,271611
Cleveland,2024,3,339176
Cleveland,2024,4,271174
Cleveland,2024,5,270848
Cleveland,2024,6,342808
Cleveland,2024,7,274696
Cleveland,2024,8,137752
Columbus,2024,1,145692
Columbus,2024,2,146037
Columbus,2024,3,182413
Columbus,2024,4,145312
Columbus,2024,5,145094
Columbus,2024,6,184235
Columbus,2024,7,147989
Columbus,2024,8,74204
Craven,2024,1,304618
Craven,2024,2,305809
Craven,2024,3,381994
Craven,2024,4,305153
Craven,2024,5,305019
Craven,2024,6,384773
Craven,2024,7,309251
Craven,2024,8,155207
Cumberland,2024,1,853006
Cumberland,2024,2,855230
Cumberland,2024,3,1067863
Cumberland,2024,4,852655
Cumberland,2024,5,851932
Cumberland,2024,6,1072738
Cumberland,2024,7,868649
Cumberland,2024,8,435259
Currituck,2024,1,96052
Currituck,2024,2,96953
Currituck,2024,3,121332
Currituck,2024,4,97014
Currituck,2024,5,96963
Currituck,2024,6,121259
Currituck,2024,7,98122
Currituck,2024,8,49284
Dare,2024,1,132965
Dare,2024,2,133327
Dare,2024,3,166291
Dare,2024,4,132893
Dare,2024,5,132772
Dare,2024,6,168047
Dare,2024,7,134726
Dare,2024,8,67448
Davidson,2024,1,464390
Davidson,2024,2,466046
Davidson,2024,3,582236
Davidson,2024,4,464826
Davidson,2024,5,464248
Davidson,2024,6,586498
Davidson,2024,7,471166
Davidson,2024,8,236380
Davie,2024,1,130023
Davie,2024,2,130325
Davie,2024,3,162769
Davie,2024,4,130057
Davie,2024,5,130161
Davie,2024,6,163852
Davie,2024,7,131268
Davie,2024,8,65778
Duplin,2024,1,125822
Duplin,2024,2,126202
Duplin,2024,3,157597
Duplin,2024,4,125884
Duplin,2024,5,125702
Duplin,2024,6,158199
Duplin,2024,7,127330
Duplin,2024,8,63940
Durham,2024,1,938202
Durham,2024,2,941477
Durham,2024,3,1176873
Durham,2024,4,940137
Durham,2024,5,939261
Durham,2024,6,1184509
Durham,2024,7,955792
Durham,2024,8,480339
Edgecombe,2024,1,136960
Edgecombe,2024,2,137198
Edgecombe,2024,3,171272
Edgecombe,2024,4,136730
Edgecombe,2024,5,136374
Edgecombe,2024,6,171526
Edgecombe,2024,7,137752
Edgecombe,2024,8,70550
Forsyth,2024,1,1054939
Forsyth,2024,2,1059329
Forsyth,2024,3,1322963
Forsyth,2024,4,1056260
Forsyth,2024,5,1054888
Forsyth,2024,6,1324460
Forsyth,2024,7,1067109
Forsyth,2024,8,533280
Franklin,2024,1,207518
Franklin,2024,2,208474
Franklin,2024,3,260570
Franklin,2024,4,208202
Franklin,2024,5,207902
Franklin,2024,6,263544
Franklin,2024,7,212432
Franklin,2024,8,106527
Gaston,2024,1,625291
Gaston,2024,2,627040
Gaston,2024,3,782326
Gaston,2024,4,624762
Gaston,2024,5,625631
Gaston,2024,6,789538
Gaston,2024,7,633181
Gaston,2024,8,317626
Gates,2024,1,32819
Gates,2024,2,32985
Gates,2024,3,41312
Gates,2024,4,33027
Gates,2024,5,33011
Gates,2024,6,41543
Gates,2024,7,33448
Gates,2024,8,16791
Graham,2024,1,24371
Graham,2024,2,24410
Graham,2024,3,30511
Graham,2024,4,24387
Graham,2024,5,24368
Graham,2024,6,30717
Graham,2024,7,24655
Graham,2024,8,12358
Granville,2024,1,162278
Granville,2024,2,162710
Granville,2024,3,203400
Granville,2024,4,162361
Granville,2024,5,162182
Granville,2024,6,202198
Granville,2024,7,162461
Granville,2024,8,81445
Greene,2024,1,43694
Greene,2024,2,43811
Greene,2024,3,54618
Greene,2024,4,43594
Greene,2024,5,43550
Greene,2024,6,54772
Greene,2024,7,43939
Greene,2024,8,22070
Guilford,2024,1,1506285
Guilford,2024,2,1510171
Guilford,2024,3,1887648
Guilford,2024,4,1507971
Guilford,2024,5,1506633
Guilford,2024,6,1906042
Guilford,2024,7,1535834
Guilford,2024,8,769429
Halifax,2024,1,142880
Halifax,2024,2,143215
Halifax,2024,3,179011
Halifax,2024,4,143107
Halifax,2024,5,142967
Halifax,2024,6,179521
Halifax,2024,7,143824
Halifax,2024,8,71993
Harnett,2024,1,344337
Harnett,2024,2,345893
Harnett,2024,3,431982
Harnett,2024,4,345132
Harnett,2024,5,344761
Harnett,2024,6,440012
Harnett,2024,7,353754
Harnett,2024,8,177478
Haywood,2024,1,184229
Haywood,2024,2,184482
Haywood,2024,3,230300
Haywood,2024,4,183858
Haywood,2024,5,183597
Haywood,2024,6,232774
Haywood,2024,7,186603
Haywood,2024,8,93512
Henderson,2024,1,357217
Henderson,2024,2,358308
Henderson,2024,3,447610
Henderson,2024,4,357492
Henderson,2024,5,356883
Henderson,2024,6,452060
Henderson,2024,7,362591
Henderson,2024,8,181737
Hertford,2024,1,55137
Hertford,2024,2,55164
Hertford,2024,3,68929
Hertford,2024,4,55104
Hertford,2024,5,55044
Hertford,2024,6,69019
Hertford,2024,7,55404
Hertford,2024,8,27735
Hoke,2024,1,134236
Hoke,2024,2,134843
Hoke,2024,3,168633
Hoke,2024,4,134587
Hoke,2024,5,134530
Hoke,2024,6,170592
Hoke,2024,7,137711
Hoke,2024,8,69192
Hyde,2024,1,12687
Hyde,2024,2,12733
Hyde,2024,3,15946
Hyde,2024,4,12716
Hyde,2024,5,12682
Hyde,2024,6,15799
Hyde,2024,7,12657
Hyde,2024,8,6343
Iredell,2024,1,554498
Iredell,2024,2,556678
Iredell,2024,3,695223
Iredell,2024,4,555313
Iredell,2024,5,554680
Iredell,2024,6,705507
Iredell,2024,7,565803
Iredell,2024,8,283737
Jackson,2024,1,119156
Jackson,2024,2,120057
Jackson,2024,3,150161
Jackson,2024,4,119635
Jackson,2024,5,118964
Jackson,2024,6,149319
Jackson,2024,7,118996
Jackson,2024,8,59314
Johnston,2024,1,621146
Johnston,2024,2,623835
Johnston,2024,3,779210
Johnston,2024,4,622624
Johnston,2024,5,622275
Johnston,2024,6,786113
Johnston,2024,7,634229
Johnston,2024,8,318460
Jones,2024,1,28622
Jones,2024,2,28787
Jones,2024,3,35953
Jones,2024,4,28705
Jones,2024,5,28713
Jones,2024,6,36047
Jones,2024,7,28856
Jones,2024,8,14400
Lee,2024,1,158119
Lee,2024,2,158721
Lee,2024,3,198222
Lee,2024,4,158313
Lee,2024,5,158111
Lee,2024,6,199981
Lee,2024,7,160415
Lee,2024,8,80409
Lenoir,2024,1,151922
Lenoir,2024,2,152287
Lenoir,2024,3,190239
Lenoir,2024,4,152026
Lenoir,2024,5,151884
Lenoir,2024,6,192856
Lenoir,2024,7,154939
Lenoir,2024,8,77772
Lincoln,2024,1,270542
Lincoln,2024,2,271353
Lincoln,2024,3,338855
Lincoln,2024,4,270744
Lincoln,2024,5,270608
Lincoln,2024,6,342950
Lincoln,2024,7,275138
Lincoln,2024,8,137979
Macon,2024,1,113140
Macon,2024,2,113315
Macon,2024,3,141503
Macon,2024,4,113060
Macon,2024,5,113512
Macon,2024,6,143728
Macon,2024,7,115376
Macon,2024,8,57803
Madison,2024,1,68201
Madison,2024,2,68355
Madison,2024,3,85172
Madison,2024,4,68031
Madison,2024,5,67890
Madison,2024,6,86028
Madison,2024,7,68930
Madison,2024,8,34560
Martin,2024,1,63950
Martin,2024,2,64038
Martin,2024,3,79943
Martin,2024,4,63800
Martin,2024,5,63734
Martin,2024,6,80073
Martin,2024,7,64439
Martin,2024,8,32415
Mcdowell,2024,1,119686
Mcdowell,2024,2,119967
Mcdowell,2024,3,149816
Mcdowell,2024,4,119701
Mcdowell,2024,5,119535
Mcdowell,2024,6,151634
Mcdowell,2024,7,121501
Mcdowell,2024,8,60963
Mecklenburg,2024,1,3146157
Mecklenburg,2024,2,3158251
Mecklenburg,2024,3,3946172
Mecklenburg,2024,4,3153917
Mecklenburg,2024,5,3152533
Mecklenburg,2024,6,3994487
Mecklenburg,2024,7,3218828
Mecklenburg,2024,8,1616480
Mitchell,2024,1,44812
Mitchell,2024,2,45022
Mitchell,2024,3,56267
Mitchell,2024,4,44983
Mitchell,2024,5,44919
Mitchell,2024,6,56575
Mitchell,2024,7,45248
Mitchell,2024,8,22643
Montgomery,2024,1,68080
Montgomery,2024,2,68405
Montgomery,2024,3,85479
Montgomery,2024,4,68258
Montgomery,2024,5,68219
Montgomery,2024,6,85972
Montgomery,2024,7,68914
Montgomery,2024,8,34561
Moore,2024,1,301035
Moore,2024,2,301933
Moore,2024,3,377005
Moore,2024,4,301107
Moore,2024,5,300606
Moore,2024,6,381144
Moore,2024,7,305276
Moore,2024,8,152871
Nash,2024,1,270123
Nash,2024,2,270482
Nash,2024,3,337273
Nash,2024,4,269339
Nash,2024,5,269188
Nash,2024,6,340802
Nash,2024,7,276253
Nash,2024,8,139240
Northampton,2024,1,51194
Northampton,2024,2,51055
Northampton,2024,3,63505
Northampton,2024,4,50686
Northampton,2024,5,50626
Northampton,2024,6,63818
Northampton,2024,7,51422
Northampton,2024,8,25826
Onslow,2024,1,503524
Onslow,2024,2,506716
Onslow,2024,3,633295
Onslow,2024,4,506206
Onslow,2024,5,505884
Onslow,2024,6,643675
Onslow,2024,7,523493
Onslow,2024,8,263465
Orange,2024,1,435937
Orange,2024,2,436446
Orange,2024,3,545047
Orange,2024,4,435641
Orange,2024,5,435333
Orange,2024,6,548690
Orange,2024,7,439136
Orange,2024,8,219793
Pamlico,2024,1,41072
Pamlico,2024,2,41170
Pamlico,2024,3,51500
Pamlico,2024,4,41234
Pamlico,2024,5,41166
Pamlico,2024,6,51602
Pamlico,2024,7,41389
Pamlico,2024,8,20715
Pasquotank,2024,1,119798
Pasquotank,2024,2,120183
Pasquotank,2024,3,150077
Pasquotank,2024,4,119927
Pasquotank,2024,5,119844
Pasquotank,2024,6,151743
Pasquotank,2024,7,123461
Pasquotank,2024,8,62100
Pender,2024,1,196289
Pender,2024,2,197258
Pender,2024,3,247421
Pender,2024,4,197261
Pender,2024,5,197078
Pender,2024,6,247754
Pender,2024,7,200673
Pender,2024,8,100919
Perquimans,2024,1,41105
Perquimans,2024,2,41209
Perquimans,2024,3,51475
Perquimans,2024,4,41154
Perquimans,2024,5,41038
Perquimans,2024,6,52151
Perquimans,2024,7,41987
Perquimans,2024,8,21073
Person,2024,1,110656
Person,2024,2,110887
Person,2024,3,138411
Person,2024,4,110577
Person,2024,5,110812
Person,2024,6,139734
Person,2024,7,111913
Person,2024,8,56025
Pitt,2024,1,489024
Pitt,2024,2,489680
Pitt,2024,3,610849
Pitt,2024,4,488000
Pitt,2024,5,487565
Pitt,2024,6,614963
Pitt,2024,7,492830
Pitt,2024,8,247548
Polk,2024,1,66372
Polk,2024,2,66638
Polk,2024,3,83255
Polk,2024,4,66536
Polk,2024,5,66452
Polk,2024,6,84165
Polk,2024,7,67482
Polk,2024,8,33810
Randolph,2024,1,382531
Randolph,2024,2,383378
Randolph,2024,3,478674
Randolph,2024,4,382436
Randolph,2024,5,382013
Randolph,2024,6,482085
Randolph,2024,7,386703
Randolph,2024,8,193550
Richmond,2024,1,113846
Richmond,2024,2,114024
Richmond,2024,3,142796
Richmond,2024,4,114345
Richmond,2024,5,114312
Richmond,2024,6,143154
Richmond,2024,7,114816
Richmond,2024,8,57572
Robeson,2024,1,290698
Robeson,2024,2,292216
Robeson,2024,3,366219
Robeson,2024,4,294541
Robeson,2024,5,294688
Robeson,2024,6,366780
Robeson,2024,7,295073
Robeson,2024,8,148091
Rockingham,2024,1,245637
Rockingham,2024,2,246329
Rockingham,2024,3,307530
Rockingham,2024,4,245680
Rockingham,2024,5,245886
Rockingham,2024,6,310552
Rockingham,2024,7,249013
Rockingham,2024,8,124952
Rowan,2024,1,388166
Rowan,2024,2,388854
Rowan,2024,3,485683
Rowan,2024,4,387987
Rowan,2024,5,387510
Rowan,2024,6,490651
Rowan,2024,7,393355
Rowan,2024,8,196987
Rutherford,2024,1,185549
Rutherford,2024,2,186029
Rutherford,2024,3,232060
Rutherford,2024,4,185357
Rutherford,2024,5,185106
Rutherford,2024,6,234347
Rutherford,2024,7,187868
Rutherford,2024,8,94092
Sampson,2024,1,152295
Sampson,2024,2,153225
Sampson,2024,3,191209
Sampson,2024,4,152685
Sampson,2024,5,152424
Sampson,2024,6,191093
Sampson,2024,7,153584
Sampson,2024,8,77229
Scotland,2024,1,86322
Scotland,2024,2,86821
Scotland,2024,3,108490
Scotland,2024,4,86718
Scotland,2024,5,85640
Scotland,2024,6,108137
Scotland,2024,7,87408
Scotland,2024,8,44154
Stanly,2024,1,177397
Stanly,2024,2,178053
Stanly,2024,3,222397
Stanly,2024,4,177658
Stanly,2024,5,177402
Stanly,2024,6,225395
Stanly,2024,7,180674
Stanly,2024,8,90554
Stokes,2024,1,129335
Stokes,2024,2,129779
Stokes,2024,3,162199
Stokes,2024,4,129442
Stokes,2024,5,129752
Stokes,2024,6,163667
Stokes,2024,7,131233
Stokes,2024,8,65790
Surry,2024,1,190687
Surry,2024,2,191260
Surry,2024,3,238823
Surry,2024,4,190721
Surry,2024,5,190445
Surry,2024,6,240034
Surry,2024,7,192433
Surry,2024,8,96427
Swain,2024,1,39151
Swain,2024,2,39257
Swain,2024,3,49157
Swain,2024,4,39331
Swain,2024,5,39161
Swain,2024,6,49382
Swain,2024,7,39453
Swain,2024,8,19816
Transylvania,2024,1,104879
Transylvania,2024,2,105112
Transylvania,2024,3,131226
Transylvania,2024,4,104809
Transylvania,2024,5,104637
Transylvania,2024,6,132356
Transylvania,2024,7,106017
Transylvania,2024,8,53065
Tyrrell,2024,1,9021
Tyrrell,2024,2,9167
Tyrrell,2024,3,11554
Tyrrell,2024,4,9216
Tyrrell,2024,5,9184
Tyrrell,2024,6,11465
Tyrrell,2024,7,9165
Tyrrell,2024,8,4572
Union,2024,1,710195
Union,2024,2,714109
Union,2024,3,891628
Union,2024,4,712689
Union,2024,5,712269
Union,2024,6,896286
Union,2024,7,721689
Union,2024,8,361476
Vance,2024,1,112987
Vance,2024,2,113227
Vance,2024,3,141320
Vance,2024,4,112864
Vance,2024,5,112685
Vance,2024,6,142114
Vance,2024,7,113639
Vance,2024,8,56898
Wake,2024,1,3281945
Wake,2024,2,3293913
Wake,2024,3,4114103
Wake,2024,4,3286778
Wake,2024,5,3284530
Wake,2024,6,4172311
Wake,2024,7,3347622
Wake,2024,8,1678737
Warren,2024,1,52535
Warren,2024,2,52687
Warren,2024,3,66029
Warren,2024,4,52940
Warren,2024,5,53066
Warren,2024,6,66450
Warren,2024,7,53254
Warren,2024,8,26654
Washington,2024,1,31739
Washington,2024,2,31791
Washington,2024,3,39725
Washington,2024,4,31742
Washington,2024,5,31611
Washington,2024,6,39811
Washington,2024,7,31878
Washington,2024,8,15922
Watauga,2024,1,177731
Watauga,2024,2,177597
Watauga,2024,3,221663
Watauga,2024,4,177059
Watauga,2024,5,176823
Watauga,2024,6,220742
Watauga,2024,7,176052
Watauga,2024,8,87518
Wayne,2024,1,298091
Wayne,2024,2,298724
Wayne,2024,3,372861
Wayne,2024,4,297829
Wayne,2024,5,297453
Wayne,2024,6,375095
Wayne,2024,7,300753
Wayne,2024,8,151004
Wilkes,2024,1,176127
Wilkes,2024,2,176675
Wilkes,2024,3,220499
Wilkes,2024,4,176264
Wilkes,2024,5,176158
Wilkes,2024,6,221295
Wilkes,2024,7,177939
Wilkes,2024,8,89142
Wilson,2024,1,220440
Wilson,2024,2,220880
Wilson,2024,3,275676
Wilson,2024,4,220485
Wilson,2024,5,220837
Wilson,2024,6,277283
Wilson,2024,7,222215
Wilson,2024,8,111340
Yadkin,2024,1,99517
Yadkin,2024,2,99856
Yadkin,2024,3,124731
Yadkin,2024,4,99596
Yadkin,2024,5,99412
Yadkin,2024,6,125600
Yadkin,2024,7,100644
Yadkin,2024,8,50397
Yancey,2024,1,57159
Yancey,2024,2,57361
Yancey,2024,3,71594
Yancey,2024,4,57114
Yancey,2024,5,57022
Yancey,2024,6,71909
Yancey,2024,7,57754
Yancey,2024,8,28886
